"id","name","description","img"
"640c2dd963a319ea671e37aa",Squid,"A type of cephalopod with a soft, cylindrical body and long tentacles, often used in seafood dishes such as calamari or grilled squid.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e37aa.png
"640c2dd963a319ea671e37f5",Cabbage,"A leafy green or purple vegetable that is often used in salads, coleslaw, and stir-fry dishes, and is also commonly fermented into sauerkraut.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e37f5.png
"640c2dd963a319ea671e3665",Baking Powder,"Baking powder is a dry chemical leavening agent, a mixture of a carbonate or bicarbonate and a weak acid. The base and acid are prevented from reacting prematurely by the inclusion of a buffer such as cornstarch. Baking powder is used to increase the volume and lighten the texture of baked goods. It works by releasing carbon dioxide gas into a batter or dough through an acid-base reaction, causing bubbles in the wet mixture to expand and thus leavening the mixture. The first single-acting baking powder was developed by Birmingham based food manufacturer Alfred Bird in England in 1843. The first double-acting baking powder was developed by Eben Norton Horsford in America in the 1860s.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e3665.png
"640c2dd963a319ea671e3804",Smoked Haddock,"Haddock that has been smoked over wood chips, giving it a distinctive smoky flavor",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e3804.png
"640c2dd963a319ea671e382c",Pears,"A sweet and juicy fruit with a soft, grainy texture and thin skin.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e382c.png
"640c2dd963a319ea671e3770",Spring Onions,"Also known as scallions or green onions, these are young onions that have a mild flavor and are commonly used as a garnish or ingredient in salads, soups, stir-fries, and other dishes.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e3770.png
"640c2dd963a319ea671e36e9",Ginger Cordial,A sweet and spicy syrup made from ginger often used as a mixer in cocktails or diluted with water to make a non-alcoholic drink.,https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e36e9.png
"640c2dd963a319ea671e3861",Almond Extract,"The almond (Prunus dulcis, syn. Prunus amygdalus) is a species of tree native to Mediterranean climate regions of the Middle East, but widely cultivated elsewhere. The almond is also the name of the edible and widely cultivated seed of this tree. Within the genus Prunus, it is classified with the peach in the subgenus Amygdalus, distinguished from the other subgenera by corrugations on the shell (endocarp) surrounding the seed. The fruit of the almond is a drupe, consisting of an outer hull and a hard shell with the seed, which is not a true nut, inside. Shelling almonds refers to removing the shell to reveal the seed. Almonds are sold shelled or unshelled. Blanched almonds are shelled almonds that have been treated with hot water to soften the seedcoat, which is then removed to reveal the white embryo.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e3861.png
"640c2dd963a319ea671e37e8",Tinned Tomatos,"Tinned tomatoes are tomatoes that have been canned or preserved in a liquid. They are commonly used in sauces, soups, stews, and other culinary applications.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e37e8.png
"640c2dd963a319ea671e37c2",Minced Beef,"Ground beef, commonly used for making burgers, meatballs, and meat sauces.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e37c2.png
"640c2dd963a319ea671e36f9",Gruyère,"Gruyère is a type of Swiss cheese that is known for its nutty, slightly sweet flavor and smooth, creamy texture. It is often used in cooking and pairs well with foods like potatoes, mushrooms, and bread.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e36f9.png
"640c2dd963a319ea671e388a",Powdered Sugar,"Powdered sugar, also called confectioners' sugar or icing sugar, is a finely ground sugar produced by milling granulated sugar into a powdered state. It usually contains a small amount of anti-caking agent to prevent clumping and improve flow",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e388a.png
"640c2dd963a319ea671e37bc",Stilton Cheese,"Blue cheese made from cow's milk, characterized by its strong flavor and creamy texture.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e37bc.png
"640c2dd963a319ea671e365e",Pork,"Pork is the culinary name for the flesh of a domestic pig (Sus scrofa domesticus). It is the most commonly consumed meat worldwide,[1] with evidence of pig husbandry dating back to 5000 BC. Pork is eaten both freshly cooked and preserved. Curing extends the shelf life of the pork products. Ham, smoked pork, gammon, bacon and sausage are examples of preserved pork. Charcuterie is the branch of cooking devoted to prepared meat products, many from pork. Pig is the most popular meat in the Eastern and non-Muslim parts of Southeastern Asia (Indochina, Philippines, Singapore, East Timor) and is also very common in the Western world, especially in Central Europe. It is highly prized in Asian cuisines for its fat content and pleasant texture. Consumption of pork is forbidden by Jewish, Muslim and Rastafarian dietary law, for religious reasons, with several suggested possible causes.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e365e.png
"640c2dd963a319ea671e375c",Sake,"Japanese alcoholic beverage made from fermented rice and water, with a mild flavor and a relatively low alcohol content.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e375c.png
"640c2dd963a319ea671e3688",Cayenne Pepper,"A type of chili pepper that is often used to add heat and spice to dishes, with a bright red color and a pungent, fiery flavor that can range from mild to very hot.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e3688.png
"640c2dd963a319ea671e3704",Jalapeno,"A type of chili pepper, typically green when unripe, that is commonly used in Mexican and Tex-Mex cuisine. It is moderately spicy and often used in salsas, sauces, and as a topping for nachos.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e3704.png
"640c2dd963a319ea671e37c4",Barbeque Sauce,"A sweet and tangy sauce typically used for grilling or marinating meats, made with ingredients like tomato, vinegar, and spices.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e37c4.png
"640c2dd963a319ea671e37e5",Yellow Pepper,"Yellow peppers are a type of bell pepper with a sweet, mild flavor. They are commonly used in salads, stir-fries, and other culinary applications.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e37e5.png
"640c2dd963a319ea671e3773",Strawberries,"A sweet and juicy fruit that is high in vitamin C and antioxidants. They are commonly eaten fresh or used in desserts like strawberry shortcake, strawberry ice cream, or strawberry jam.",https://ftp.goit.study/img/so-yummy/ingredients/640c2dd963a319ea671e3773.png
